CUST_KEY,NAME,ADDRESS,NATION_NAME,PHONE,ACCT_BAL,MKT_SEGMENT
25,Customer#000000025,Hp8GyFQgGHFYSilH5tBfe,JAPAN,22-603-468-3533,7133.70,FURNITURE
38,Customer#000000038,a5Ee5e9568R8RLP 2ap7,JAPAN,22-306-880-7212,6345.11,HOUSEHOLD
51,Customer#000000051,"uR,wEaiTvo4",JAPAN,22-344-885-4251,855.87,FURNITURE
60,Customer#000000060,FyodhjwMChsZmUz7Jz0H,JAPAN,22-480-575-5866,2741.87,MACHINERY
68,Customer#000000068,"o8AibcCRkXvQFh8hF,7o",JAPAN,22-918-832-2411,6853.37,HOUSEHOLD
98,Customer#000000098,7yiheXNSpuEAwbswDW,JAPAN,22-885-845-6889,-551.37,BUILDING
113,Customer#000000113,"eaOl5UBXIvdY57rglaIzqvfPD,MYfK",JAPAN,22-302-930-4756,2912.00,BUILDING
120,Customer#000000120,zBNna00AEInqyO1,JAPAN,22-291-534-1571,363.75,MACHINERY
168,Customer#000000168,"GDcL5qU86P8,oaTwVBCLE6asM8rlxpE,211uziU",JAPAN,22-354-984-5361,-808.56,FURNITURE
205,Customer#000000205,"jOTQBGb nhfBMu3,LIN62WogLDBO0w",JAPAN,22-356-437-1311,7161.52,BUILDING
245,Customer#000000245,IseFIO7jTGPTzAdZPoO2X4VX48Hy,JAPAN,22-952-232-2729,3720.15,MACHINERY
258,Customer#000000258,7VbADek8qYezQYotxNUmnNI,JAPAN,22-278-425-9944,6022.27,MACHINERY
261,Customer#000000261,dXkVi8qahjP,JAPAN,22-494-898-7855,7094.22,AUTOMOBILE
320,Customer#000000320,pO8rWSwK j,JAPAN,22-358-857-3698,6082.74,MACHINERY
370,Customer#000000370,oyAPndV IN,JAPAN,22-524-280-8721,8982.79,FURNITURE
416,Customer#000000416,fm7H7k6sYhKfXttOT,JAPAN,22-651-146-4780,4365.28,MACHINERY
466,Customer#000000466,"ZI1c8,ZanegEu5CEQxNf5,bkuYPwn7H7JIK7",JAPAN,22-280-738-3240,3168.41,MACHINERY
469,Customer#000000469,JWOULMa5Qtt,JAPAN,22-406-988-6460,6343.64,BUILDING
472,Customer#000000472,hWgfnsmTAEOx9Mqp87YwztGrgLLqNkjMPh4,JAPAN,22-940-478-1933,7929.90,MACHINERY
496,Customer#000000496,Y8oYLlHme6Z4fEzkTu,JAPAN,22-173-644-7922,8174.82,MACHINERY
522,Customer#000000522,"gPz4FuAGpjvaU4YB9J,fGSnLBr9scEovGO1KkTx",JAPAN,22-771-454-9561,6358.46,BUILDING
536,Customer#000000536,jf8PSOQDvqQj4uF8,JAPAN,22-521-348-9030,3342.75,MACHINERY
563,Customer#000000563,"2RSC1g7cVd,j23HusdkhdCGmiiE",JAPAN,22-544-152-1215,3231.71,FURNITURE
600,Customer#000000600,"LOtVjPC,Eu,0I2BRCqWf,K",JAPAN,22-675-907-7888,2003.44,HOUSEHOLD
629,Customer#000000629,"LeXGhXX1mFQ0Cq,7taW ruvRHTpG3q,KkW",JAPAN,22-260-205-9116,5100.77,AUTOMOBILE
680,Customer#000000680,TuONtFVII8TR2QtJyl1lS5f0iagaWWsBm1IQo,JAPAN,22-593-663-2200,4366.23,AUTOMOBILE
716,Customer#000000716,"jbXpMEcV9j,6ciftBXEMXDjE",JAPAN,22-501-849-6084,8364.99,AUTOMOBILE
717,Customer#000000717,TqWi1c aNhdExPcDD7KQ18W,JAPAN,22-660-518-8009,8510.94,MACHINERY
741,Customer#000000741,jiPAOQuJ5gIauMfvcbE8lKUVPMp,JAPAN,22-560-854-2068,9195.41,HOUSEHOLD
