CUST_KEY,NAME,ADDRESS,NATION_NAME,PHONE,ACCT_BAL,MKT_SEGMENT
5,Customer#000000005,KvpyuHCplrB84WgAiGV6sYpZq7Tj,CANADA,13-750-942-6364,794.47,HOUSEHOLD
13,Customer#000000013,nsXQu0oVjD7PM659uC3SRSp,CANADA,13-761-547-5974,3857.34,BUILDING
22,Customer#000000022,"QI6p41,FNs5k7RZoCCVPUTkUdYpB",CANADA,13-806-545-9701,591.98,MACHINERY
23,Customer#000000023,OdY W13N7Be3OC5MpgfmcYss0Wn6TKT,CANADA,13-312-472-8245,3332.02,HOUSEHOLD
27,Customer#000000027,IS8GIyxpBrLpMT0u7,CANADA,13-137-193-2709,5679.84,BUILDING
40,Customer#000000040,gOnGWAyhSV1ofv,CANADA,13-652-915-8939,1335.30,BUILDING
64,Customer#000000064,"MbCeGY20kaKK3oalJD,OT",CANADA,13-558-731-7204,-646.64,BUILDING
122,Customer#000000122,yp5slqoNd26lAENZW3a67wSfXA6hTF,CANADA,13-702-694-4520,7865.46,HOUSEHOLD
146,Customer#000000146,"GdxkdXG9u7iyI1,,y5tq4ZyrcEy",CANADA,13-835-723-3223,3328.68,FURNITURE
182,Customer#000000182,tdwvgepG316CCTHtMaF8Q,CANADA,13-199-211-9023,4810.22,AUTOMOBILE
186,Customer#000000186,BeVr6MzaobBENXRBC8pmOmkByMJI,CANADA,13-518-743-2576,8737.50,HOUSEHOLD
226,Customer#000000226,ToEmqB90fM TkLqyEgX8MJ8T8NkK,CANADA,13-452-318-7709,9008.61,AUTOMOBILE
233,Customer#000000233,mFm45wZ7rV4VIbEE1F4,CANADA,13-574-104-3221,3998.24,FURNITURE
235,Customer#000000235,bp0rIBMh4fMdQnHBmMnB,CANADA,13-350-790-6416,754.41,AUTOMOBILE
242,Customer#000000242,apgzK3HWAjKHFteJ16Tg3OERViesqBbx,CANADA,13-324-350-3564,1975.41,MACHINERY
249,Customer#000000249,0XE2fhX7j2uivaHBrFuRl1NoJnaTSIQT,CANADA,13-226-455-7727,-234.01,MACHINERY
255,Customer#000000255,I8Wz9sJBZTnEFG08lhcbfTZq3S,CANADA,13-924-679-8287,3196.07,BUILDING
268,Customer#000000268,tkSLQoOpfOa601itad05EcN0UmhjZXdyKRc0r,CANADA,13-720-469-5207,6821.01,MACHINERY
303,Customer#000000303,5pSw0OIoNRcpyTEEI1gZ6zRMyJ0UGhJdD,CANADA,13-184-254-6407,9339.57,AUTOMOBILE
343,Customer#000000343,ejvvSNHIkJVm8I1zpQINNn5yyJbA,CANADA,13-877-910-5134,5521.36,HOUSEHOLD
366,Customer#000000366,pPQektSfn55AC7s9SRFkj07I2yXqakvCa,CANADA,13-915-531-6826,-729.74,MACHINERY
385,Customer#000000385,zJvPI24TSPpiFzYfu3RvTKQ9,CANADA,13-741-675-6890,2457.09,AUTOMOBILE
430,Customer#000000430,"s2yfPEGGOqHfgkVSs5Rs6 qh,SuVmR",CANADA,13-406-611-4228,7905.17,BUILDING
434,Customer#000000434,6LGAf2hv4MB5MJhfvNsg,CANADA,13-325-443-1474,2940.46,MACHINERY
440,Customer#000000440,"w4fKMgiBuGmV,nLn7NgJl1DoUWwNQMV8z  5,R",CANADA,13-244-480-5751,1809.04,MACHINERY
443,Customer#000000443,UdyNGZ6GSz5aNpMO5N2,CANADA,13-241-131-1632,3726.22,FURNITURE
447,Customer#000000447,hVZBzP8Pii,CANADA,13-438-344-7007,7665.98,HOUSEHOLD
488,Customer#000000488,bBcMjFPTysSTaTdHcoO,CANADA,13-513-778-1881,-275.58,AUTOMOBILE
520,Customer#000000520,yaOGc9Ve92Bi4F6e0GcheU2MmEOXJE0zqyDT sEA,CANADA,13-612-111-7765,8315.09,HOUSEHOLD
582,Customer#000000582,KqH6uOztVK55zDxLA9kvdtny i5OYXt,CANADA,13-484-591-9280,4879.55,MACHINERY
632,Customer#000000632,sUlni97rSK6DIL,CANADA,13-310-645-6928,-487.92,MACHINERY
677,Customer#000000677,",wTtWOOr  wqX2sL,h79myT6nxG1EgY",CANADA,13-398-309-9122,5582.63,AUTOMOBILE
690,Customer#000000690,"xH61m,Si5X4REvi",CANADA,13-489-760-5455,103.45,HOUSEHOLD
702,Customer#000000702,BDKtDAva8rBuCWXT6jXb2JJY7YoRS,CANADA,13-549-296-5659,4782.05,FURNITURE
726,Customer#000000726,"4w7DOLtN9Hy,xzZMR",CANADA,13-168-233-7513,6253.81,BUILDING
757,Customer#000000757,VFnouow3LhLvEDy,CANADA,13-704-408-2991,9334.82,AUTOMOBILE
796,Customer#000000796,79bj5Rk3jJj9ked7M,CANADA,13-554-411-6773,2584.23,HOUSEHOLD
863,Customer#000000863," oaBBxuQLKPawG1yqOc7cyVhOezCy",CANADA,13-801-392-5922,5274.52,AUTOMOBILE
875,Customer#000000875,8pQ4YUYox0d,CANADA,13-146-810-5423,-949.28,FURNITURE
883,Customer#000000883,qVQ8rWNU5KZYDcS,CANADA,13-526-239-6950,479.96,FURNITURE
898,Customer#000000898,"JrvrIEzAre,VJzJCi3SEmib1T2,YVXVvOGxaVZwR",CANADA,13-265-738-4361,8137.24,AUTOMOBILE
905,Customer#000000905,f iyVEgCU2lZZPCebx5bGp5,CANADA,13-803-156-2231,-600.73,BUILDING
988,Customer#000000988,3BNYKEUyMbzfb40SEr 8OTb,CANADA,13-862-722-3298,7746.97,FURNITURE
1020,Customer#000001020,"DHom,LSHKfYSwLSZv39AooYQHlvbaeztefjwR",CANADA,13-692-286-8158,6914.87,MACHINERY
1101,Customer#000001101,"h,UOEyoi1ZG4",CANADA,13-528-469-6051,-842.72,MACHINERY
1125,Customer#000001125,DrHkeaX6wshtuZOI2nLrME,CANADA,13-807-542-3923,8427.55,MACHINERY
