CUST_KEY,NAME,ADDRESS,NATION_NAME,PHONE,ACCT_BAL,MKT_SEGMENT
2590,Customer#000002590,4ljncwzZkWWu,GERMANY,17-483-833-5072,9852.99,BUILDING
2604,Customer#000002604,xwadGtfw2eby,GERMANY,17-102-545-8181,3382.45,MACHINERY
2622,Customer#000002622,vocY5xVIZ8XWtbe3wzyAzYOolVqBQ,GERMANY,17-329-378-5573,5263.92,MACHINERY
2671,Customer#000002671,r7PFEEl8sFMlFh1TNQ5,GERMANY,17-527-728-3381,3981.92,MACHINERY
2699,Customer#000002699,GWZ023qBegx Z,GERMANY,17-131-640-7765,3193.80,AUTOMOBILE
2722,Customer#000002722,"ylEl,4fjqdFWmMQkV9YPf0JQ",GERMANY,17-452-432-9843,2431.68,HOUSEHOLD
2793,Customer#000002793,"5PwXVH2cdELZil6YTqG24quyov,",GERMANY,17-797-623-9769,5058.57,BUILDING
2815,Customer#000002815,7MMtRqelT5CmTdcyMS9hCSJlS0hd,GERMANY,17-912-124-4764,4412.56,FURNITURE
2821,Customer#000002821,3WSNaGzMWQ sej PQGRPygZN4YjzWAH2c,GERMANY,17-964-888-4096,5378.90,MACHINERY
2832,Customer#000002832,pbS7wyddGLiXrqyiuNvc0sF,GERMANY,17-524-362-3344,960.50,AUTOMOBILE
