CUST_KEY,NAME,ADDRESS,NATION_NAME,PHONE,ACCT_BAL,MKT_SEGMENT
9,Customer#000000009,xKiAFTjUsCuxfeleNqefumTrjS,INDIA,18-338-906-3675,8324.07,FURNITURE
21,Customer#000000021,XYmVpr9yAHDEn,INDIA,18-902-614-8344,1428.25,MACHINERY
28,Customer#000000028,"iVyg0daQ,Tha8x2WPWA9m2529m",INDIA,18-774-241-1462,1007.18,FURNITURE
37,Customer#000000037,"7EV4Pwh,3SboctTWt",INDIA,18-385-235-7162,-917.75,FURNITURE
91,Customer#000000091,S8OMYFrpHwoNHaGBeuS6E 6zhHGZiprw1b7 q,INDIA,18-239-400-3677,4643.14,AUTOMOBILE
96,Customer#000000096,vWLOrmXhRR,INDIA,18-422-845-1202,6323.92,AUTOMOBILE
115,Customer#000000115,0WFt1IXENmUT2BgbsB0ShVKJZt0HCBCbFl0aHc,INDIA,18-971-699-1843,7508.92,HOUSEHOLD
152,Customer#000000152,PDrllSkScKLh4lr19gmUZnK,INDIA,18-585-850-3926,1215.18,BUILDING
162,Customer#000000162,JE398sXZt2QuKXfJd7poNpyQFLFtth,INDIA,18-131-101-2267,6268.99,MACHINERY
214,Customer#000000214,MpCwhcLrbcIM7AeKS9tRM09by,INDIA,18-180-678-6165,1526.59,MACHINERY
291,Customer#000000291,ZlLNbGxnQYMubQ9K,INDIA,18-657-656-2318,4261.68,HOUSEHOLD
316,Customer#000000316,zE dN3aqjaG,INDIA,18-171-394-5011,4571.78,MACHINERY
327,Customer#000000327,UyKulwfNnX4l4ba1vQtwCWw8WNP50U8DCU,INDIA,18-606-718-3062,8762.16,MACHINERY
369,Customer#000000369,"ge1XhgI3ADIkvLr5GPMqpup,hzlTVv",INDIA,18-333-644-9832,2881.06,FURNITURE
382,Customer#000000382,"UdgAMamK5JnSykA,ZPfR5W5zRFatDUye",INDIA,18-942-650-6657,6269.42,AUTOMOBILE
399,Customer#000000399,ZBvzMa6N1wdCGaPmG13xVusIxdjSiA94jTXN,INDIA,18-882-664-5454,7358.53,BUILDING
453,Customer#000000453,"PZ4mmWL7R,El0MtLWMfLXp120lo0,itmO",INDIA,18-209-381-8571,5678.18,HOUSEHOLD
463,Customer#000000463,"LV7MN7Tkm2NSo4Q3lwvjxGQyRJjRZRf,M",INDIA,18-167-214-5805,-654.50,HOUSEHOLD
492,Customer#000000492,"JexAgMLuUHoElYFaKx,hJcAP1b1GknYoYHQLyx",INDIA,18-686-244-1077,8635.18,AUTOMOBILE
574,Customer#000000574,ratVLdmp070,INDIA,18-676-218-1058,9787.56,FURNITURE
590,Customer#000000590,"4sHhhAZWHYRxJVz0KRgjW9IlKu,55IuT",INDIA,18-734-215-6394,3993.54,MACHINERY
620,Customer#000000620,"3ztw9KQqKGNsiMM,I1 6g2f,u2Pm5LhlSEe8ZK1k",INDIA,18-466-916-8135,5795.15,AUTOMOBILE
688,Customer#000000688,"2QBxK8WIryWMZTsDM JS7GxWCB6Y71Swa,f1EUxk",INDIA,18-210-546-2836,3354.47,HOUSEHOLD
695,Customer#000000695,"fbT9dQCc,su7JboB5FWI6",INDIA,18-131-151-7466,9126.54,FURNITURE
747,Customer#000000747,uuichgTY7NjlZaaRZ6S7KzvapZWvAiCUWAQr,INDIA,18-793-504-2931,67.95,FURNITURE
750,Customer#000000750,5OyNRajjgjjbaXtI rkxvB2lX4c6u,INDIA,18-235-587-1274,269.90,BUILDING
752,Customer#000000752,KtdEacPUecPdPLt99kwZrnH9oIxUxpw,INDIA,18-924-993-6038,8363.66,MACHINERY
770,Customer#000000770,IjwJR6TjBJZbKIeouH2d,INDIA,18-856-112-5677,2066.79,AUTOMOBILE
773,Customer#000000773,NyRSeog kIkD7YOb0EuSfSGxfptN5nkX26Mk6,INDIA,18-456-377-3723,4578.24,FURNITURE
780,Customer#000000780,CMxcdzgEUkCWP1,INDIA,18-844-576-7345,9874.12,FURNITURE
829,Customer#000000829,"4oht3f64ZWA1,ACbBP9DNxjjG1CbIqOCK",INDIA,18-404-707-6095,4086.56,MACHINERY
858,Customer#000000858,"8qSqHq,Fc378KIPPbTNmaL 0bpAwO",INDIA,18-509-453-8977,-829.37,BUILDING
880,Customer#000000880,"ogwHmUUFa1QB69pAoYAAoB0rjbdsVpAQ552e5Q,",INDIA,18-763-990-8618,-77.63,FURNITURE
921,Customer#000000921,XYBVDdDifSYrW gUeDPhITqMjpjtbnc,INDIA,18-765-936-2316,3651.09,HOUSEHOLD
966,Customer#000000966,V9c8SR8WK7wEd,INDIA,18-539-933-5176,1283.26,MACHINERY
969,Customer#000000969,N9NSGc0Bj6FlSw3d9k GI7VAd1jW,INDIA,18-148-790-2039,8601.63,BUILDING
