emp_id,first_name,last_name,date_of_birth,date_of_joining,email_address,department,designation,level,office_location,active
201,Frank,Curtis,1977-02-28,2021-03-31,frank.curtis_201@desimplified.com,Regulatory Affairs,Biostatistician,L2,Marseille,Yes
202,Jonathan,Osborne,1977-07-05,2019-11-10,jonathan.osborne_202@desimplified.com,Clinical Operations,Systems Analyst,L3,Nagasaki,Yes
203,Todd,Daniels,1961-05-11,2023-06-17,todd.daniels_203@desimplified.com,Sales,Senior Auditor,L1,Nagoya,Yes
204,Brenda,Walker,1958-10-27,2021-02-26,brenda.walker_204@desimplified.com,Finance,Finance Controller,L4,Sapporo,Yes
205,Jason,Hernandez,1980-10-06,2020-06-23,jason.hernandez_205@desimplified.com,Support,Director,L4,Jaipur,Yes
206,Lee,Underwood,2001-06-30,2021-09-24,lee.underwood_206@desimplified.com,Marketing,Biostatistician,L2,Kobe,Yes
207,Megan,Patton,1987-08-05,2021-05-12,megan.patton_207@desimplified.com,Sales,Team Leader,L2,Tokyo,Yes
208,Linda,Allen,1965-08-29,2023-05-06,linda.allen_208@desimplified.com,Finance,Legal Counsel,L2,Seattle,Yes
209,David,Clayton,2000-03-10,2023-11-26,david.clayton_209@desimplified.com,HR,Senior Auditor,L1,Kyoto,Yes
210,Zachary,Summers,1970-08-02,2021-02-14,zachary.summers_210@desimplified.com,Finance,Research Scientist,L3,Toulouse,Yes
211,Brian,Oliver,1997-12-08,2019-10-24,brian.oliver_211@desimplified.com,Medical Affairs,IT Project Manager,L5,Kolkata,Yes
212,Evan,Velasquez,1990-12-18,2021-12-05,evan.velasquez_212@desimplified.com,Compliance,IT Project Manager,L3,Boston,Yes
213,Gary,Boyd,1980-12-17,2023-05-05,gary.boyd_213@desimplified.com,Support,Medical Writer,L3,Edinburgh,Yes
214,Emily,Campbell,1981-12-17,2020-12-07,emily.campbell_214@desimplified.com,Quality Assurance,Data Analyst,L3,Lille,Yes
215,Kyle,Santiago,1990-06-16,2022-06-22,kyle.santiago_215@desimplified.com,Finance,Senior Auditor,L4,Kawasaki,Yes
